Company,TypeName,Inches,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price,TouchScreen,IPS
Apple,Ultrabook,13.3,Intel Core i5,8,128,Intel,Mac,1.37,71378,No,Yes
Apple,Ultrabook,13.3,Intel Core i5,8,128,Intel,Mac,1.34,47895,No,No
HP,Notebook,15.6,Intel Core i5,8,256,Intel,Other,1.86,30636,No,No
Apple,Ultrabook,15.4,Intel Core i7,16,512,AMD,Mac,1.83,135195,No,Yes
Apple,Ultrabook,13.3,Intel Core i5,8,256,Intel,Mac,1.37,96095,No,Yes
Acer,Notebook,15.6,AMD,4,500,AMD,Windows,2.1,21312,No,No
Apple,Ultrabook,15.4,Intel Core i7,16,256,Intel,Mac,2.04,114017,No,Yes
Apple,Ultrabook,13.3,Intel Core i5,8,256,Intel,Mac,1.34,61735,No,No
Asus,Ultrabook,14.0,Intel Core i7,16,512,Nvidia,Windows,1.3,79653,No,No
Acer,Ultrabook,14.0,Intel Core i5,8,256,Intel,Windows,1.6,41025,No,Yes
HP,Notebook,15.6,Intel Core i5,4,500,Intel,Other,1.86,20986,No,No
HP,Notebook,15.6,Intel Core i3,4,500,Intel,Other,1.86,18381,No,No
Apple,Ultrabook,15.4,Intel Core i7,16,256,AMD,Mac,1.83,130001,No,Yes
Dell,Notebook,15.6,Intel Core i3,4,256,AMD,Windows,2.2,26581,No,No
Apple,Ultrabook,12.0,Intel Other,8,256,Intel,Mac,0.92,67260,No,Yes
Apple,Ultrabook,13.3,Intel Core i5,8,256,Intel,Mac,1.37,80908,No,Yes
Dell,Notebook,15.6,Intel Core i7,8,256,AMD,Windows,2.2,39693,No,No
Apple,Ultrabook,15.4,Intel Core i7,16,512,AMD,Mac,1.83,152274,No,Yes
Lenovo,Notebook,15.6,Intel Core i3,8,1,Nvidia,Other,2.2,26586,No,No
Dell,Ultrabook,13.3,Intel Core i5,8,128,Intel,Windows,1.22,52161,Yes,Yes
Asus,Other,11.6,Intel Other,2,32,Intel,Windows,0.98,10224,No,No
Lenovo,Gaming,15.6,Intel Core i5,8,1281,Nvidia,Windows,2.5,53226,No,Yes
HP,Notebook,15.6,AMD,4,500,AMD,Other,1.86,13746,No,No
Dell,2 in 1 Convertible,13.3,Intel Core i5,8,256,Intel,Windows,1.62,43636,Yes,No
HP,Ultrabook,15.6,Intel Core i7,8,256,Intel,Windows,1.91,35111,No,No
Dell,Notebook,15.6,Intel Core i3,4,1,Intel,Windows,2.3,22305,No,No
Apple,Ultrabook,13.3,Intel Core i5,8,128,Intel,Mac,1.35,58554,No,No
Dell,Notebook,15.6,Intel Core i5,8,256,AMD,Windows,2.2,42624,No,No
Dell,Ultrabook,15.6,Intel Core i7,8,256256,Intel,Windows,1.88,69157,No,No
HP,Notebook,17.3,Intel Core i5,8,1,Nvidia,Windows,2.5,47738,No,No
Other,Notebook,15.6,Intel Other,4,64,Intel,Windows,1.89,13053,No,No
Asus,Notebook,14.0,AMD,2,32,AMD,Windows,1.65,10602,No,No
HP,Notebook,17.3,AMD,4,500,AMD,Windows,2.71,23389,No,No
Dell,Ultrabook,13.3,Intel Core i7,16,512,Intel,Windows,1.2,99580,Yes,No
Apple,Ultrabook,13.3,Intel Core i5,8,256,Intel,Mac,1.35,53173,No,No
Lenovo,Notebook,14.0,Intel Celeron,4,64,Intel,Windows,1.44,13266,No,No
Acer,Notebook,15.6,Intel Core i3,4,1,Intel,Linux,2.1,19553,No,No
Dell,Notebook,17.3,Intel Core i5,8,1281,AMD,Windows,2.8,52161,No,Yes
HP,Notebook,15.6,Intel Core i5,4,1,Intel,Windows,1.86,26037,No,No
HP,Notebook,15.6,Intel Core i5,8,256,Nvidia,Windows,2.1,46833,No,No
Asus,Notebook,15.6,Intel Core i3,4,1,Intel,Linux,2.0,20725,No,No
Dell,Gaming,15.6,Intel Core i7,16,2561,Nvidia,Windows,2.65,79866,No,Yes
Asus,Notebook,15.6,Intel Core i5,8,1,Nvidia,Linux,2.3,27864,No,No
Acer,Notebook,15.6,Intel Core i5,4,256,Intel,Windows,2.2,36336,No,Yes
Dell,2 in 1 Convertible,17.3,Intel Core i5,12,1,Nvidia,Windows,2.77,53226,Yes,No
Apple,Ultrabook,13.3,Intel Core i5,8,256,Intel,Mac,1.37,75604,No,Yes
Lenovo,Notebook,15.6,Intel Core i3,4,128,Intel,Other,2.2,19660,No,No
Asus,Gaming,17.3,AMD,8,2561,AMD,Windows,3.2,69210,No,No
Dell,Notebook,15.6,Intel Core i5,4,256,AMD,Windows,2.3,34045,No,No
